City	Address	Floor Area	Lot Area	IMG	Price
Bulacan	"Lot 2, Block 7Œæ Samson and LukeŒæ Sts. Metrogate Complex Phase 1 Bgy. Pandayan. Bo. Saluysoy Meycauayan, Bulacan"	133		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"598,500"
Bulacan	"Lot 20 Block 3, Ph. 2, Town & Country North Subdivision, Marilao, Bulacan"	150		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"525,000"
Bulacan	"Lot 2048-A Brgy.Road, Brgy. Malipangpang, San Ildefonso, Bulacan"	10565		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"6,339,000"
Bulacan	"Lot 2181, Brgy. Malipangpang, San Ildefonso, Bulacan"	6162		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"4,929,600"
Bulacan	"Lot 228 corner of Baí±ez & Paraiso Sts. Brgy. Bayugo, Meycauayan, Bulacan"	248		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"662,160"
Bulacan	"Lot 3 Block 2, Ph. 3, Town & Country North Subdivision, Marilao, Bulacan"	238		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"595,000"
Bulacan	"Lot 3Œæ Block 2, Golden Village Subdivision, San Ildefonso, Bulacan"	142		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"284,200"
Bulacan	"Lot 3, Block 7Œæ Samson and LukeŒæ Sts. Metrogate Complex Phase 1 Bgy. Pandayan. Bo. Saluysoy Meycauayan, Bulacan"	135		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"607,500"
Bulacan	"Lot 3, C. Mercado St., Brgy. Tuktukan, Guiguinto, Bulacan"	9096		"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"27,288,000"
Bulacan	"Lot 33 Block 11, Ph. 4, Town & Country North Subdivision, Marilao, Bulacan"	130	68	"<img class=""image_not_found"" src=""/sites/all/modules/bdo/bdo_properties_for_sale/images/NotAvailable.jpg"" width=""45px"" height=""38px"" /><img class=""image-not-found"" src=""/sites/default/files/notavailable_new.jpg"" width=""45px"" height=""38px"" />"	"563,000"
